epoch,step,train_loss,valid_loss
0,49,0.005131363868713379,
0,99,0.011874428018927574,
0,149,0.10666073113679886,
0,199,0.0390390120446682,
0,249,0.04879032075405121,
0,249,,0.045824084430933
1,299,0.027453023940324783,
1,349,0.028602350503206253,
1,399,0.013588201254606247,
1,449,0.020995695143938065,
1,499,0.028421644121408463,
1,499,,0.045600272715091705
2,549,0.027685144916176796,
2,599,0.029885219410061836,
2,649,0.019548362120985985,
2,699,0.022481244057416916,
2,749,0.011735765263438225,
2,749,,0.04543968662619591
3,799,0.020188797265291214,
3,849,0.012813791632652283,
3,899,0.011081335134804249,
3,949,0.02321794256567955,
3,999,0.018760837614536285,
3,999,,0.0453353077173233
4,1049,0.021748367697000504,
4,1099,0.017054155468940735,
4,1149,0.01829402893781662,
4,1199,0.024398285895586014,
4,1249,0.01578361727297306,
4,1249,,0.04528241604566574
5,1299,0.039190225303173065,
5,1349,0.013748344033956528,
5,1399,0.0229809507727623,
5,1449,0.009688814170658588,
5,1499,0.018477778881788254,
5,1499,,0.045264072716236115
