epoch,step,train_loss,valid_loss
0,49,0.024943511933088303,
0,99,0.04774225503206253,
0,149,0.014496874995529652,
0,199,0.027280721813440323,
0,249,0.011565826833248138,
0,249,,0.047364357858896255
1,299,0.01342218928039074,
1,349,0.015917817130684853,
1,399,0.038086142390966415,
1,449,0.02064911462366581,
1,499,0.018162548542022705,
1,499,,0.04775329679250717
2,549,0.01451772078871727,
2,599,0.01980508863925934,
2,649,0.026424266397953033,
2,699,0.008313176222145557,
2,749,0.016662634909152985,
2,749,,0.048158224672079086
3,799,0.01622648909687996,
3,849,0.025258731096982956,
3,899,0.032528106123209,
3,949,0.032608531415462494,
3,999,0.019339516758918762,
3,999,,0.04870249330997467
4,1049,0.011201860383152962,
4,1099,0.04237143322825432,
4,1149,0.02482355386018753,
4,1199,0.010089045390486717,
4,1249,0.024434810504317284,
4,1249,,0.049239762127399445
5,1299,0.012773259542882442,
5,1349,0.009686088189482689,
5,1399,0.01838398352265358,
5,1449,0.01196826808154583,
5,1499,0.3816867172718048,
5,1499,,0.04972761869430542
