epoch,step,train_loss,valid_loss
0,49,0.32331907749176025,
0,99,0.25314807891845703,
0,149,0.3939971625804901,
0,199,0.154464453458786,
0,249,0.11845448613166809,
0,249,,0.1115647479891777
1,299,0.1431519091129303,
1,349,0.10815796256065369,
1,399,0.09444574266672134,
1,449,0.06943640112876892,
1,499,0.1224697083234787,
1,499,,0.08604896813631058
2,549,0.19315817952156067,
2,599,0.1162494346499443,
2,649,0.08490128815174103,
2,699,0.0694686770439148,
2,749,0.11861027777194977,
2,749,,0.07948905229568481
3,799,0.07623590528964996,
3,849,0.10887615382671356,
3,899,0.1223566085100174,
3,949,0.11008601635694504,
3,999,0.18705233931541443,
3,999,,0.07570812851190567
4,1049,0.11822158098220825,
4,1099,0.14427170157432556,
4,1149,0.09657153487205505,
4,1199,0.09178507328033447,
4,1249,0.10841339081525803,
4,1249,,0.07501599937677383
5,1299,0.08556404709815979,
5,1349,0.0833352729678154,
5,1399,0.15234118700027466,
5,1449,0.09347204864025116,
5,1499,0.08852134644985199,
5,1499,,0.07300737500190735
6,1549,0.13395829498767853,
6,1599,0.13680684566497803,
6,1649,0.11671949923038483,
6,1699,0.11889959871768951,
6,1749,0.10094285011291504,
6,1749,,0.07248435914516449
7,1799,0.12365429103374481,
7,1849,0.08669982105493546,
7,1899,0.08095715939998627,
7,1949,0.17698250710964203,
7,1999,0.06171902269124985,
7,1999,,0.0716870054602623
8,2049,0.10543672740459442,
8,2099,0.07765939831733704,
8,2149,0.126165509223938,
8,2199,0.14894194900989532,
8,2249,0.08008825778961182,
8,2249,,0.07228533923625946
9,2299,0.9168134331703186,
9,2349,0.06761172413825989,
9,2399,0.07752369344234467,
9,2449,0.08785776793956757,
9,2499,0.06874802708625793,
9,2499,,0.0704745352268219
