epoch,step,train_loss,valid_loss
0,49,0.8549226522445679,
0,99,0.6534875631332397,
0,149,13.016969680786133,
0,199,0.3968578577041626,
0,249,0.7899001836776733,
0,249,,1.1078879833221436
1,299,0.7137224674224854,
1,349,6.928515911102295,
1,399,0.6874917149543762,
1,449,22.79793357849121,
1,499,0.5385265350341797,
1,499,,0.8727909922599792
2,549,0.17309534549713135,
2,599,0.3054311275482178,
2,649,5.553380012512207,
2,699,0.4859521687030792,
2,749,0.42461955547332764,
2,749,,0.8064255714416504
3,799,0.445187509059906,
3,849,0.2059287428855896,
3,899,0.2825358211994171,
3,949,0.3565991520881653,
3,999,0.3153117299079895,
3,999,,0.7824937701225281
4,1049,0.29480040073394775,
4,1099,0.42359480261802673,
4,1149,0.20604103803634644,
4,1199,0.2612094283103943,
4,1249,0.733941912651062,
4,1249,,0.7597121000289917
5,1299,0.19579467177391052,
5,1349,0.28515446186065674,
5,1399,0.19332191348075867,
5,1449,0.6630024909973145,
5,1499,0.46830683946609497,
5,1499,,0.7593345046043396
6,1549,1.9272379875183105,
6,1599,0.32816123962402344,
6,1649,0.28338468074798584,
6,1699,0.23248113691806793,
6,1749,0.47733601927757263,
6,1749,,0.7596679925918579
7,1799,0.9762328863143921,
7,1849,0.22194531559944153,
7,1899,7.230846405029297,
7,1949,0.3359138071537018,
7,1999,0.2209746241569519,
7,1999,,0.7377220392227173
8,2049,0.12987929582595825,
8,2099,0.33758842945098877,
8,2149,0.18905970454216003,
8,2199,0.34399837255477905,
8,2249,0.3783358931541443,
8,2249,,0.7321992516517639
9,2299,0.5988565683364868,
9,2349,0.8681007027626038,
9,2399,0.963286817073822,
9,2449,0.1361321061849594,
9,2499,0.23513787984848022,
9,2499,,0.726326048374176
