epoch,step,train_loss,valid_loss
0,49,0.05193476378917694,
0,99,0.02304115891456604,
0,149,0.05216400325298309,
0,199,0.033442117273807526,
0,249,0.03298581764101982,
0,249,,0.04588748887181282
1,299,0.016105778515338898,
1,349,0.052062854170799255,
1,399,0.025852832943201065,
1,449,0.006321440450847149,
1,499,0.05969298258423805,
1,499,,0.04573303833603859
2,549,0.01201571710407734,
2,599,0.027816884219646454,
2,649,0.012756666168570518,
2,699,0.014460786245763302,
2,749,0.012195639312267303,
2,749,,0.045621760189533234
3,799,0.016104958951473236,
3,849,0.015610769391059875,
3,899,0.02198992855846882,
3,949,0.02874010242521763,
3,999,0.017088664695620537,
3,999,,0.04554395005106926
4,1049,0.017320748418569565,
4,1099,0.014183546416461468,
4,1149,0.0376511812210083,
4,1199,0.029001709073781967,
4,1249,0.030448265373706818,
4,1249,,0.045501381158828735
5,1299,0.03360821679234505,
5,1349,0.02939268946647644,
5,1399,0.014890194870531559,
5,1449,0.03497551754117012,
5,1499,0.02646249532699585,
5,1499,,0.04548615589737892
