epoch,step,train_loss,valid_loss
0,49,0.06640824675559998,
0,99,0.5181093215942383,
0,149,0.013734625652432442,
0,199,0.050239935517311096,
0,249,0.030042963102459908,
0,249,,0.047875259071588516
1,299,0.014974922873079777,
1,349,0.01963134855031967,
1,399,0.043626029044389725,
1,449,0.038372281938791275,
1,499,0.03365480527281761,
1,499,,0.04764929413795471
2,549,0.03189818561077118,
2,599,0.027744781225919724,
2,649,0.05438181012868881,
2,699,0.030512694269418716,
2,749,0.010634198784828186,
2,749,,0.047448135912418365
3,799,0.018719447776675224,
3,849,0.009383199736475945,
3,899,0.023601721972227097,
3,949,0.09059266000986099,
3,999,0.03926766663789749,
3,999,,0.047272298485040665
4,1049,0.02429892122745514,
4,1099,0.0329912044107914,
4,1149,0.023009587079286575,
4,1199,0.022356292232871056,
4,1249,0.016752680763602257,
4,1249,,0.04712521657347679
5,1299,0.05569323152303696,
5,1349,0.012128753587603569,
5,1399,0.012945050373673439,
5,1449,0.018890896812081337,
5,1499,0.04371384531259537,
5,1499,,0.04700171947479248
