epoch,step,train_loss,valid_loss
0,49,1.13114595413208,
0,99,10.426695823669434,
0,149,0.4353224039077759,
0,199,0.3681086301803589,
0,249,1.3514752388000488,
0,249,,0.5551947951316833
1,299,0.17388582229614258,
1,349,0.40966835618019104,
1,399,0.9222501516342163,
1,449,0.42554157972335815,
1,499,1.6442618370056152,
1,499,,0.4299122989177704
2,549,2.0523171424865723,
2,599,0.47962716221809387,
2,649,0.385989248752594,
2,699,0.29632675647735596,
2,749,0.3370818495750427,
2,749,,0.4035998582839966
3,799,0.2175052911043167,
3,849,0.5022024512290955,
3,899,0.7254700064659119,
3,949,0.14081087708473206,
3,999,0.18741253018379211,
3,999,,0.3924674391746521
4,1049,0.5592501163482666,
4,1099,0.20313751697540283,
4,1149,0.266128271818161,
4,1199,0.3015722632408142,
4,1249,2.1626687049865723,
4,1249,,0.3892174959182739
5,1299,1.4050662517547607,
5,1349,0.600477397441864,
5,1399,0.4873610734939575,
5,1449,0.601280689239502,
5,1499,0.32768383622169495,
5,1499,,0.387858122587204
6,1549,0.26737964153289795,
6,1599,0.45214250683784485,
6,1649,0.6865813732147217,
6,1699,0.5031986832618713,
6,1749,0.30163395404815674,
6,1749,,0.38259732723236084
7,1799,0.25072625279426575,
7,1849,0.47705167531967163,
7,1899,0.1550968438386917,
7,1949,0.2783990204334259,
7,1999,0.43444353342056274,
7,1999,,0.3777894973754883
8,2049,10.058311462402344,
8,2099,0.9904477596282959,
8,2149,0.24201592803001404,
8,2199,1.774680256843567,
8,2249,1.4066874980926514,
8,2249,,0.379542738199234
9,2299,0.35652413964271545,
9,2349,0.9207656383514404,
9,2399,0.17120423913002014,
9,2449,0.5056084394454956,
9,2499,0.2515881359577179,
9,2499,,0.38038724660873413
