epoch,step,train_loss,valid_loss
0,49,0.24302637577056885,
0,99,0.23553378880023956,
0,149,0.11988308280706406,
0,199,0.16362833976745605,
0,249,0.19172802567481995,
0,249,,0.12550759315490723
1,299,0.11657202988862991,
1,349,0.17856912314891815,
1,399,0.09805406630039215,
1,449,0.09094278514385223,
1,499,0.12423335760831833,
1,499,,0.09775322675704956
2,549,0.14933329820632935,
2,599,0.1587073802947998,
2,649,0.09063473343849182,
2,699,0.32416751980781555,
2,749,0.07710836082696915,
2,749,,0.0894513800740242
3,799,0.1309753656387329,
3,849,0.11442659795284271,
3,899,0.15227212011814117,
3,949,0.13890986144542694,
3,999,0.15166044235229492,
3,999,,0.08334178477525711
4,1049,0.15781345963478088,
4,1099,0.1414414644241333,
4,1149,0.14415913820266724,
4,1199,0.07427361607551575,
4,1249,0.10881169140338898,
4,1249,,0.0822223499417305
5,1299,0.13539209961891174,
5,1349,0.1474909484386444,
5,1399,0.18149104714393616,
5,1449,0.12987783551216125,
5,1499,0.0900178849697113,
5,1499,,0.08011634647846222
6,1549,0.08503986895084381,
6,1599,0.13546618819236755,
6,1649,0.12734155356884003,
6,1699,0.08612048625946045,
6,1749,0.09500062465667725,
6,1749,,0.07902582734823227
7,1799,0.1458611935377121,
7,1849,0.10007171332836151,
7,1899,0.09695345163345337,
7,1949,0.09010638296604156,
7,1999,0.09653007984161377,
7,1999,,0.07629525661468506
8,2049,0.06879641115665436,
8,2099,0.08660900592803955,
8,2149,0.09372871369123459,
8,2199,0.13959452509880066,
8,2249,0.1079329401254654,
8,2249,,0.07841766625642776
9,2299,0.11863863468170166,
9,2349,0.08725381642580032,
9,2399,0.0968257486820221,
9,2449,0.1431826800107956,
9,2499,0.08824187517166138,
9,2499,,0.07358318567276001
