epoch,step,train_loss,valid_loss
0,49,0.2971426248550415,
0,99,0.29637596011161804,
0,149,0.1049584448337555,
0,199,0.05269451439380646,
0,249,0.16839875280857086,
0,249,,0.7189193964004517
1,299,0.0886060819029808,
1,349,0.15083308517932892,
1,399,0.06444782018661499,
1,449,0.09078891575336456,
1,499,0.08338196575641632,
1,499,,0.7206054925918579
2,549,0.1878339946269989,
2,599,0.11690111458301544,
2,649,0.14337775111198425,
2,699,0.25396373867988586,
2,749,4.545269012451172,
2,749,,0.7223048210144043
3,799,0.12013307213783264,
3,849,0.151495099067688,
3,899,0.03603671118617058,
3,949,0.06336755305528641,
3,999,0.25168564915657043,
3,999,,0.7244809865951538
4,1049,0.06835590302944183,
4,1099,0.2553843557834625,
4,1149,0.2123062014579773,
4,1199,0.1265016496181488,
4,1249,1.2456519603729248,
4,1249,,0.7265406847000122
5,1299,0.033453039824962616,
5,1349,0.2391372174024582,
5,1399,0.4535945653915405,
5,1449,0.1213526800274849,
5,1499,0.2019031047821045,
5,1499,,0.7285947203636169
