epoch,step,train_loss,valid_loss
0,49,0.6772139072418213,
0,99,2.3571596145629883,
0,149,0.6049149632453918,
0,199,0.8703969717025757,
0,249,8.990668296813965,
0,249,,0.7496208548545837
1,299,0.9916473627090454,
1,349,0.4232843220233917,
1,399,1.489927053451538,
1,449,1.2759194374084473,
1,499,1.2051148414611816,
1,499,,0.5598572492599487
2,549,0.29838263988494873,
2,599,0.3712307810783386,
2,649,0.6867189407348633,
2,699,0.17621728777885437,
2,749,0.36297452449798584,
2,749,,0.4957333207130432
3,799,0.7674135565757751,
3,849,3.097970962524414,
3,899,0.14487306773662567,
3,949,1.0927153825759888,
3,999,0.2317402958869934,
3,999,,0.4846511781215668
4,1049,0.34365496039390564,
4,1099,0.29253003001213074,
4,1149,0.378374844789505,
4,1199,0.7979338765144348,
4,1249,1.0022821426391602,
4,1249,,0.46629244089126587
5,1299,0.29176104068756104,
5,1349,0.12888988852500916,
5,1399,0.7398009896278381,
5,1449,0.538931131362915,
5,1499,0.2374134361743927,
5,1499,,0.46156805753707886
6,1549,4.48317289352417,
6,1599,0.9114173650741577,
6,1649,0.20849338173866272,
6,1699,0.23257160186767578,
6,1749,0.20482002198696136,
6,1749,,0.45735758543014526
7,1799,0.28474149107933044,
7,1849,0.42454153299331665,
7,1899,0.25755438208580017,
7,1949,0.37298229336738586,
7,1999,0.2657891809940338,
7,1999,,0.45820504426956177
8,2049,1.1482884883880615,
8,2099,0.36099669337272644,
8,2149,0.9153972864151001,
8,2199,0.16376993060112,
8,2249,0.976027250289917,
8,2249,,0.4608180522918701
9,2299,5.025912284851074,
9,2349,1.846299648284912,
9,2399,0.19520726799964905,
9,2449,0.22026965022087097,
9,2499,0.7246609926223755,
9,2499,,0.4622597098350525
